X,Y,concentration,v_x,v_y,v_z
1.0875,0.0725,0.00267,0.05513,0.09141,-0.03086
1.1165,0.0725,0.0027,0.05955,0.08358,-0.02547
1.1455,0.0725,0.00272,0.06339,0.07551,-0.02095
1.1745,0.0725,0.00274,0.06688,0.06766,-0.01713
1.2035,0.0725,0.00276,0.0698,0.06004,-0.01392
1.2325,0.0725,0.00276,0.07183,0.05308,-0.01112
1.2615,0.0725,0.00277,0.07348,0.04673,-0.00856
1.2905,0.0725,0.00277,0.07464,0.04081,-0.00623
1.3195,0.0725,0.00277,0.07515,0.03573,-0.00404
1.3485,0.0725,0.00276,0.07518,0.03204,-0.00165
1.3775,0.0725,0.00276,0.07464,0.02895,0.00082
1.4065,0.0725,0.00275,0.07368,0.02707,0.0036
1.4355,0.0725,0.00274,0.07205,0.02789,0.00729
1.4645,0.0725,0.00272,0.06992,0.0299,0.01145
1.4935,0.0725,0.0027,0.06742,0.03415,0.0165
1.5225,0.0725,0.00268,0.06496,0.04351,0.02369
1.5515,0.0725,0.00267,0.06274,0.05505,0.03165
1.5805,0.0725,0.00268,0.06006,0.07517,0.04003
1.6095,0.0725,0.00271,0.05566,0.093,0.04573
1.6385,0.0725,0.00283,0.04748,0.10547,0.04517
1.6675,0.0725,0.00298,0.038,0.10484,0.03949
1.6965,0.0725,0.00319,0.02312,0.08666,0.0275
1.7255,0.0725,0.0034,0.01024,0.06686,0.01606
1.7545,0.0725,0.00362,-0.00014,0.04558,0.00602
1.7835,0.0725,0.00378,-0.00795,0.03015,-0.00093
1.8125,0.0725,0.00386,-0.01028,0.02555,-0.00248
1.8415,0.0725,0.00392,-0.01222,0.02198,-0.00365
1.8705,0.0725,0.00395,-0.01252,0.02265,-0.00328
1.8995,0.0725,0.00397,-0.01298,0.02326,-0.00294
1.9285,0.0725,0.00398,-0.01356,0.02347,-0.00287
1.9575,0.0725,0.00399,-0.01381,0.0238,-0.00278
1.9865,0.0725,0.004,-0.01395,0.02391,-0.00282
2.0155,0.0725,0.004,-0.0139,0.02405,-0.00287
2.0445,0.0725,0.00401,-0.01366,0.02408,-0.00293
2.0735,0.0725,0.00401,-0.01341,0.02408,-0.003
2.1025,0.0725,0.00401,-0.01303,0.024,-0.00305
2.1315,0.0725,0.00401,-0.01261,0.02394,-0.00309
2.1605,0.0725,0.00401,-0.01206,0.02389,-0.0031
